osmid,y,x,highway,street_count,junction,longitude,latitude
485580824,6.996412,100.4631218,traffic_signals,4,,100.4631218,6.996412
485580829,6.9978576,100.4711098,,3,,100.4711098,6.9978576
485580840,7.0039444,100.4678219,,3,,100.4678219,7.0039444
485580841,7.0056245,100.4675585,,3,,100.4675585,7.0056245
485580842,7.0059709,100.4705028,,4,,100.4705028,7.0059709
485580845,7.0075612,100.469684,,3,,100.469684,7.0075612
617233014,7.0059052,100.4699124,,4,,100.4699124,7.0059052
617234280,7.0042411,100.4700794,,4,,100.4700794,7.0042411
617234281,7.0043579,100.4715036,,4,,100.4715036,7.0043579
617234534,7.0025078,100.4680068,,3,,100.4680068,7.0025078
617234535,7.0027999,100.4703133,,4,,100.4703133,7.0027999
617234576,7.0043138,100.4707399,,4,,100.4707399,7.0043138
617234843,7.0060498,100.4712646,,3,,100.4712646,7.0060498
620881015,6.9980223,100.4738481,,3,,100.4738481,6.9980223
620881097,7.0089826,100.4701012,,3,,100.4701012,7.0089826
620881522,7.0025895,100.4686981,,3,,100.4686981,7.0025895
620881529,7.0040355,100.468489,,3,,100.468489,7.0040355
620881530,7.0057152,100.4683345,,4,,100.4683345,7.0057152
620881544,7.0027234,100.4696338,traffic_signals,4,,100.4696338,7.0027234
620881566,7.004177,100.4694581,traffic_signals,4,,100.4694581,7.004177
620881567,7.0058148,100.4691974,,4,,100.4691974,7.0058148
620881568,7.0074992,100.468897,,5,,100.468897,7.0074992
796719799,6.9981853,100.484502,,4,,100.484502,6.9981853
796719833,6.9981824,100.4758359,,3,,100.4758359,6.9981824
796719858,6.9966343,100.4749629,,3,,100.4749629,6.9966343
796719881,6.9993728,100.4894042,,3,,100.4894042,6.9993728
796719909,7.0013876,100.4907371,,4,,100.4907371,7.0013876
796719962,6.996611,100.475263,,3,,100.475263,6.996611
796720013,6.9988155,100.4889164,,7,,100.4889164,6.9988155
796720075,6.9983879,100.4794397,,4,,100.4794397,6.9983879
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967
809537378,7.0179486,100.4796474,,4,,100.4796474,7.0179486
809537420,6.9981684,100.4838664,,3,,100.4838664,6.9981684
809537476,6.9988483,100.4887028,traffic_signals,3,,100.4887028,6.9988483
809537481,7.0186166,100.4825298,,3,,100.4825298,7.0186166
809537690,7.009014,100.4814405,,4,,100.4814405,7.009014
809537695,7.0196136,100.4972114,,3,,100.4972114,7.0196136
809537709,7.0184925,100.4825501,,4,,100.4825501,7.0184925
809537716,7.0162038,100.4824994,,3,,100.4824994,7.0162038
809537729,7.0192448,100.4976281,,3,,100.4976281,7.0192448
809537730,6.9983836,100.4795413,,4,,100.4795413,6.9983836
809537797,7.0180708,100.4795991,,3,,100.4795991,7.0180708
809537799,7.0085168,100.4936666,,4,,100.4936666,7.0085168
809537820,7.0089067,100.4814243,traffic_signals,4,,100.4814243,7.0089067
809537841,6.9990314,100.4890569,,3,,100.4890569,6.9990314
823954353,7.0139577,100.4929914,,3,,100.4929914,7.0139577
823954361,7.0133764,100.4852179,,3,,100.4852179,7.0133764
823954362,7.0138524,100.4860728,,3,,100.4860728,7.0138524
823954363,7.014086,100.4950256,,3,,100.4950256,7.014086
823954365,7.0139431,100.4879197,,4,,100.4879197,7.0139431
849403330,7.0170091,100.4863472,,3,,100.4863472,7.0170091
849403352,7.0054336,100.4846966,traffic_signals,4,,100.4846966,7.0054336
849403365,7.0161191,100.4881007,,4,,100.4881007,7.0161191
849403384,7.0051541,100.4805461,traffic_signals,4,,100.4805461,7.0051541
849403388,7.016706,100.4878721,,3,,100.4878721,7.016706
849403403,7.0106328,100.485311,,3,,100.485311,7.0106328
849403406,7.0064003,100.4928334,,3,,100.4928334,7.0064003
849403427,7.0158958,100.4880597,,3,,100.4880597,7.0158958
849403447,7.0158872,100.4851514,,3,,100.4851514,7.0158872
849403480,7.0161803,100.487697,,4,,100.487697,7.0161803
849403482,7.0049611,100.4923327,traffic_signals,4,,100.4923327,7.0049611
849403490,7.0093218,100.4852835,,3,,100.4852835,7.0093218
849403500,7.0051611,100.480653,traffic_signals,4,,100.480653,7.0051611
849403509,7.0170717,100.4860121,,3,,100.4860121,7.0170717
849403531,7.005122,100.4885379,traffic_signals,4,,100.4885379,7.005122
856214432,7.0073565,100.480912,,4,,100.480912,7.0073565
856214466,7.0302827,100.5022737,,3,,100.5022737,7.0302827
856214470,7.0077329,100.4733037,,3,,100.4733037,7.0077329
856214477,7.0199314,100.4980641,traffic_signals,3,,100.4980641,7.0199314
856214501,7.030198,100.5022774,,3,,100.5022774,7.030198
856214503,7.0066584,100.4735976,,4,,100.4735976,7.0066584
856214513,7.0194998,100.4978484,,3,,100.4978484,7.0194998
856214524,7.0072938,100.4793429,,4,,100.4793429,7.0072938
856214538,7.0071878,100.47536,,4,,100.47536,7.0071878
856214571,7.0092474,100.4812263,,4,,100.4812263,7.0092474
856214578,7.0071506,100.4703267,,4,,100.4703267,7.0071506
916327686,7.0137451,100.4713034,,3,,100.4713034,7.0137451
916327702,7.0121213,100.4704568,,3,,100.4704568,7.0121213
916327730,7.0107398,100.470007,,4,,100.470007,7.0107398
916327738,7.0142025,100.4711353,,3,,100.4711353,7.0142025
916327777,7.0108552,100.4676131,,4,,100.4676131,7.0108552
916327788,7.0140682,100.4935523,,3,,100.4935523,7.0140682
916327792,7.0113312,100.4675226,,4,,100.4675226,7.0113312
916327810,7.011277,100.4701876,,3,,100.4701876,7.011277
916327824,7.0120816,100.4674841,,3,,100.4674841,7.0120816
916327839,7.0139462,100.4709568,,3,,100.4709568,7.0139462
916327885,7.0141916,100.4712994,,3,,100.4712994,7.0141916
916327888,7.0139598,100.4714477,,3,,100.4714477,7.0139598
916327912,7.011912,100.470556,,3,,100.470556,7.011912
916327921,7.0138246,100.4710024,,3,,100.4710024,7.0138246
916327945,7.0168049,100.4770885,traffic_signals,4,,100.4770885,7.0168049
916327962,7.01071,100.4701457,traffic_signals,3,,100.4701457,7.01071
947896950,7.0106254,100.4753482,,3,,100.4753482,7.0106254
947896956,7.0108468,100.4715861,,4,,100.4715861,7.0108468
947896958,7.0094407,100.4815012,,3,,100.4815012,7.0094407
947896964,7.0103692,100.4764634,traffic_signals,3,,100.4764634,7.0103692
947896971,7.0089002,100.4765404,,4,,100.4765404,7.0089002
947896972,7.0125629,100.4820136,,3,,100.4820136,7.0125629
947896976,6.998024,100.4739691,,3,,100.4739691,6.998024
947896979,7.0116953,100.4818636,,3,,100.4818636,7.0116953
947896981,7.0137749,100.48222,,4,,100.48222,7.0137749
947896982,6.9990602,100.4737837,,4,,100.4737837,6.9990602
947896985,7.0136152,100.4833871,,3,,100.4833871,7.0136152
947896989,7.0118832,100.4818992,,4,,100.4818992,7.0118832
985092239,7.0105593,100.4699593,,3,,100.4699593,7.0105593
985092359,7.0201116,100.4767576,,3,,100.4767576,7.0201116
985092634,7.0184683,100.4823974,,4,,100.4823974,7.0184683
985092700,7.0105275,100.4700939,,4,,100.4700939,7.0105275
985092779,6.9979066,100.4701327,traffic_signals,4,,100.4701327,6.9979066
985092815,7.0177499,100.4707945,traffic_signals,4,,100.4707945,7.0177499
986084781,6.9904254,100.4842058,,3,,100.4842058,6.9904254
986090102,6.9985888,100.4889053,,3,,100.4889053,6.9985888
986090146,6.9986314,100.4888723,traffic_signals,3,,100.4888723,6.9986314
986090190,6.9989481,100.4891354,traffic_signals,3,,100.4891354,6.9989481
1107773181,7.0005261,100.4741073,,3,,100.4741073,7.0005261
1107773194,7.0003361,100.4713553,,3,,100.4713553,7.0003361
1107773197,6.9991594,100.4746025,,3,,100.4746025,6.9991594
1107773198,6.999632,100.4729314,,3,,100.4729314,6.999632
1107773199,6.9983179,100.4759838,,3,,100.4759838,6.9983179
1107773207,7.0005988,100.4747528,,4,,100.4747528,7.0005988
1107773211,7.0030741,100.4741969,,3,,100.4741969,7.0030741
1107773216,6.9997202,100.4736908,,3,,100.4736908,6.9997202
1107773223,7.0004833,100.4736013,,3,,100.4736013,7.0004833
1107773241,6.9992832,100.4714974,,3,,100.4714974,6.9992832
1107773259,6.999004,100.4733452,,3,,100.4733452,6.999004
1107773263,6.9984293,100.4770089,,3,,100.4770089,6.9984293
1107773281,6.9996779,100.4732738,,3,,100.4732738,6.9996779
1107784878,7.0029742,100.472975,,3,,100.472975,7.0029742
1107784879,7.007501,100.4720857,,4,,100.4720857,7.007501
1107784883,7.0037451,100.4728685,,4,,100.4728685,7.0037451
1107784884,7.0043929,100.4727667,,4,,100.4727667,7.0043929
1107784887,7.0083069,100.4719493,,4,,100.4719493,7.0083069
1107861868,6.9874038,100.4822747,,3,,100.4822747,6.9874038
1107862104,6.9874345,100.4752567,,3,,100.4752567,6.9874345
1107862361,6.9876857,100.4745281,,4,,100.4745281,6.9876857
1107862455,6.9969459,100.471983,,4,,100.471983,6.9969459
1107862775,6.9871363,100.4804965,,3,,100.4804965,6.9871363
1107862819,6.9873967,100.4664335,,3,,100.4664335,6.9873967
1107862887,6.9922776,100.4732314,,3,,100.4732314,6.9922776
1107862926,6.9974663,100.4718087,,3,,100.4718087,6.9974663
1107926432,7.0018673,100.4841022,,3,,100.4841022,7.0018673
1107926433,7.0050294,100.479772,,3,,100.479772,7.0050294
1107926467,7.013624,100.4809111,,3,,100.4809111,7.013624
1107926481,7.0125318,100.4793385,,4,,100.4793385,7.0125318
1107926537,7.0056747,100.4793325,,3,,100.4793325,7.0056747
1107926561,7.0126345,100.4788781,,3,,100.4788781,7.0126345
1107926597,7.0012341,100.4891389,,3,,100.4891389,7.0012341
1107926599,7.0129376,100.4775066,,3,,100.4775066,7.0129376
1107926606,7.0000864,100.4897059,,3,,100.4897059,7.0000864
1107926609,7.0002469,100.4843025,,3,,100.4843025,7.0002469
1107926639,7.0063521,100.4793298,,4,,100.4793298,7.0063521
1107926675,7.0000958,100.4887129,,3,,100.4887129,7.0000958
1107926719,6.9989589,100.4907261,,3,,100.4907261,6.9989589
1107926734,7.0130433,100.4765814,,4,,100.4765814,7.0130433
1107926808,6.9992417,100.4917309,,4,,100.4917309,6.9992417
1107926940,7.0127437,100.4785183,,3,,100.4785183,7.0127437
1107926946,6.9990215,100.4910609,,3,,100.4910609,6.9990215
1107926968,7.0140345,100.4811203,,4,,100.4811203,7.0140345
1107926973,6.9990853,100.4902604,,3,,100.4902604,6.9990853
1107926977,7.0129772,100.4770008,,4,,100.4770008,7.0129772
1108909293,6.9966299,100.4772313,,3,,100.4772313,6.9966299
1108909309,6.9893954,100.4704182,,3,,100.4704182,6.9893954
1108909313,6.9966549,100.4810768,,3,,100.4810768,6.9966549
1108909319,6.9928024,100.4702178,,3,,100.4702178,6.9928024
1108909332,6.9944998,100.4644804,,3,,100.4644804,6.9944998
1108909355,7.0114121,100.4553805,,3,,100.4553805,7.0114121
1108909394,6.9926913,100.4696472,,3,,100.4696472,6.9926913
1108909401,6.9963479,100.4773373,,3,,100.4773373,6.9963479
1108909411,6.9880131,100.4688691,,3,,100.4688691,6.9880131
